ENTIDAD,NOMBRE_OFICIAL,NOM_ENT
1,Aguascalientes,Aguascalientes
2,Baja California,Baja California
3,Baja California Sur,Baja California Sur
4,Campeche,Campeche
5,Coahuila de Zaragoza,Coahuila
6,Colima,Colima
7,Chiapas,Chiapas
8,Chihuahua,Chihuahua
9,Ciudad de México,Ciudad de México
10,Durango,Durango
11,Guanajuato,Guanajuato
12,Guerrero,Guerrero
13,Hidalgo,Hidalgo
14,Jalisco,Jalisco
15,México,Estado de México
16,Michoacán de Ocampo,Michoacán
17,Morelos,Morelos
18,Nayarit,Nayarit
19,Nuevo León,Nuevo León
20,Oaxaca,Oaxaca
21,Puebla,Puebla
22,Querétaro de Arteaga,Querétaro
23,Quintana Roo,Quintana Roo
24,San Luis Potosí,San Luis Potosí
25,Sinaloa,Sinaloa
26,Sonora,Sonora
27,Tabasco,Tabasco
28,Tamaulipas,Tamaulipas
29,Tlaxcala,Tlaxcala
30,Veracruz de Ignacio de la Llave,Veracruz
31,Yucatán,Yucatán
32,Zacatecas,Zacatecas
33,Nacional,Nacional
