anio,id_ent,id_act,unidades_eco,produccion,personal,activos
2003,1,321920,6,36.815,110,22.636
2003,1,322210,9,181.597,437,190.146
2003,1,323119,146,90.722,581,66.227
2003,1,325211,1,,,
2003,1,325510,3,3.566,21,0.583
2003,1,325993,1,,,
2003,1,326110,9,58.7,191,17.198
2003,1,326120,2,,,
2003,1,326140,2,,,
2003,1,326150,1,,,
2003,1,326192,4,1208.619,444,278.112
2003,1,326193,3,37.741,153,8.898
2003,1,326194,4,14.783,65,6.175
2003,1,326198,2,,,
2003,1,326199,8,87.1,263,32.499
2003,1,326220,4,23.446,71,10.681
2003,1,326290,3,,,
2003,1,327111,5,,,
2003,1,327112,2,,,
2003,1,327121,27,8.435,128,1.82
2003,1,327991,15,,,
2003,1,327999,1,,,
2003,1,331210,1,,,
2003,1,331220,2,,,
2003,1,331510,5,19.939,91,7.188
2003,1,331520,3,2.515,20,1.536
2003,1,332110,1,,,
2003,1,332211,1,,,
2003,1,332420,5,37.789,116,11.843
2003,1,332430,3,1.21,13,1.11
2003,1,332510,1,,,
2003,1,332610,7,136.468,812,53.964
2003,1,332710,46,43.91,280,26.17
2003,1,332720,20,14.837,89,9.494
2003,1,332810,2,,,
2003,1,332910,3,36.333,130,10.629
2003,1,332999,21,256.193,512,83.458
2003,1,333111,19,,,
2003,1,333112,1,,,
2003,1,333120,1,,,
2003,1,333130,1,,,
2003,1,333243,4,3.81,29,1.779
2003,1,333244,1,,,
2003,1,333245,1,,,
2003,1,333319,1,,,
2003,1,333411,1,,,
2003,1,333510,5,17.834,138,13.473
2003,1,333610,2,,,
2003,1,333910,1,,,
2003,1,333920,3,,,
2003,1,333991,1,,,
2003,1,333993,1,,,
2003,1,333999,3,12.018,87,0.983
2003,1,334290,1,,,
2003,1,334410,2,,,
2003,1,334519,2,,,
2003,1,335311,1,,,
2003,1,336110,1,,,
2003,1,336120,1,,,
2003,1,336210,11,64.581,263,22.684
2003,1,336310,4,4984.859,2916,5841.957
2003,1,336320,1,,,
2003,1,336330,1,,,
2003,1,336340,1,,,
2003,1,336350,5,19.039,100,3.05
2003,1,336360,1,,,
2003,1,336370,3,102.779,162,77.614
2003,1,336390,6,1667.206,1529,391.978
2003,1,434221,44,207.901,650,90.596
2003,1,434222,25,680.764,351,67.724
2003,1,434229,18,20.175,105,6.465
2003,1,434311,23,,,
2003,1,435220,39,31.971,172,11.979
2003,1,435419,34,44.461,215,8.055
2003,1,468211,392,254.918,1818,102.393
2003,1,468212,47,29.473,172,12.316
2003,1,468213,48,76.305,386,22.644
2003,1,811122,32,6.446,83,1.977
2003,1,811129,18,10.646,92,3.346
2003,1,811312,120,162.907,568,46.098
2003,2,314110,2,,,
2003,2,321920,27,72.578,316,9.957
2003,2,322210,22,1609.714,2916,331.286
2003,2,323119,303,390.314,2175,114.327
2003,2,324191,2,,,
2003,2,325120,1,,,
2003,2,325130,1,,,
2003,2,325510,2,,,
2003,2,326110,8,134.591,624,42.073
2003,2,326120,6,110.445,422,45.073
2003,2,326140,13,434.489,1240,102.231
2003,2,326150,5,135.627,730,8.763
2003,2,326160,7,186.105,300,60.669
2003,2,326192,3,324.081,278,70.634
2003,2,326193,4,28.485,86,17.37
2003,2,326194,35,1220.56,9617,484.117
2003,2,326198,5,18.947,140,3.821
2003,2,326199,25,432.598,3597,108.145
2003,2,326220,2,,,
2003,2,326290,10,273.27,1472,26.961
2003,2,327111,45,18.524,247,9.892
2003,2,327112,3,140.143,803,8.375
2003,2,327121,5,62.653,141,14.577
2003,2,327910,5,87.566,331,2.802
2003,2,327991,23,23.98,182,6.456
2003,2,327999,6,8.644,26,0.878
2003,2,331210,4,17.789,83,2.088
2003,2,331220,3,,,
2003,2,331310,2,,,
2003,2,331510,10,56.061,210,13.437
2003,2,331520,8,45.932,344,16.083
2003,2,332110,8,162.594,777,53.707
2003,2,332211,8,,,
2003,2,332410,1,,,
2003,2,332420,3,,,
2003,2,332430,3,983.537,399,1092.078
2003,2,332510,7,958.559,3515,53.205
2003,2,332610,8,240.616,764,46.669
2003,2,332710,45,79.257,402,31.524
2003,2,332720,8,37.186,290,8.044
2003,2,332810,23,593.451,3175,71.178
2003,2,332910,8,533.818,3516,57.9
2003,2,332991,1,,,
2003,2,332999,46,,,
2003,2,333111,1,,,
2003,2,333130,2,,,
2003,2,333241,1,,,
2003,2,333242,3,10.278,29,3.911
2003,2,333246,1,,,
2003,2,333249,1,,,
2003,2,333319,8,54.007,486,2.19
2003,2,333411,7,,,
2003,2,333412,2,,,
2003,2,333510,1,,,
2003,2,333610,1,,,
2003,2,333910,3,300.197,346,21.142
2003,2,333920,5,173.127,484,19.848
2003,2,333991,4,7.659,25,2.487
2003,2,333992,1,,,
2003,2,333999,3,,,
2003,2,334110,15,864.988,3436,164.59
2003,2,334210,5,270.915,2174,35.455
2003,2,334220,2,,,
2003,2,334290,1,,,
2003,2,334310,22,8944.217,24569,1840.872
2003,2,334410,117,5911.45,34907,1661.76
2003,2,334519,4,159.235,1259,121.153
2003,2,334610,5,695.273,1665,177.844
2003,2,335311,5,50.205,313,0.881
2003,2,335312,9,175.037,1105,23.595
2003,2,335910,6,,,
2003,2,335920,9,125.207,943,12.682
2003,2,335999,1,,,
2003,2,336120,1,,,
2003,2,336210,3,289.532,1859,0.51
2003,2,336320,11,739.805,4810,147.94
2003,2,336330,1,,,
2003,2,336340,4,34.553,634,4.489
2003,2,336350,1,,,
2003,2,336370,2,,,
2003,2,336390,15,1144.387,5981,241.428
2003,2,336410,8,681.582,3043,196.835
2003,2,336610,2,,,
2003,2,336999,4,1.532,7,0.191
2003,2,434221,93,376.299,959,85.739
2003,2,434222,41,666.701,506,110.553
2003,2,434229,22,84.288,268,14.393
2003,2,434311,61,137.084,585,50.089
2003,2,435220,37,55.396,253,12.268
2003,2,435419,44,140.192,427,32.093
2003,2,468211,836,719.213,4193,249.496
2003,2,468212,342,111.816,1198,63.215
2003,2,468213,208,290.878,1112,77.988
2003,2,811122,78,11.688,157,4.381
2003,2,811129,51,42.435,144,5.032
2003,2,811312,148,134.283,604,48.756
2003,3,321920,1,,,
2003,3,323119,51,27.424,196,15.275
2003,3,326140,1,,,
2003,3,326160,1,,,
2003,3,326220,1,,,
2003,3,327111,2,,,
