id,nom_estab,raz_social,codigo_act,per_ocu,telefono,correoelec,www,nom_vial,numero_ext,cve_mun,latitud,longitud
9037234,Alfombras Y Cortinas Class,Alfombras Y Cortinas Class Sa De Cv,314110,11 a 30 personas,,contacto@alfombrasclass.com,www.alfombrasclass.com,Bartolome Frias,2827.0,39,20.62692907,-103.35956556
1804121,Estudios Azteca Galeria,,314110,0 a 5 personas,,,,Poniente,232.0,30,20.3011017,-103.27520335
1690109,Industrias Alika,Industrias Alika Sa De Cv,314110,11 a 30 personas,,,,6-A,2029.0,39,20.64465008,-103.34734161
8220589,Tapiceria Mirbe Muebles,,314110,0 a 5 personas,3339579423.0,,,Isla Trapani,2992.0,39,20.63132528,-103.3903728
7234894,109 Print,,323119,0 a 5 personas,,,,Aldama,109.0,93,20.81390364,-102.76063178
1769855,3 Serigrafia,,323119,0 a 5 personas,3171056548.0,soruyo3@hotmail.com,www.3serigrafia.8k.com,La Calma,4.0,15,19.76925338,-104.35754968
1739682,3H Publicidad,,323119,0 a 5 personas,3313539354.0,alfredo.mx@live.com,,Pintores,538.0,98,20.58447432,-103.34429264
8389353,601 Diseño,,323119,0 a 5 personas,,,,Andres Teran,601.0,39,20.68567778,-103.36813566
6743691,6Digital Estacionamiento,6Digital Sa De Cv,323119,0 a 5 personas,,,,Volcan Paricutin,6373.0,120,20.64362721,-103.43673069
1667156,A Artegos Proceso Creativo,,323119,0 a 5 personas,,artegos_recepcion@hotmail.com,,Leandro Valle,928.0,39,20.67047481,-103.34904672
7106289,A Y B Prints,,323119,0 a 5 personas,,,,Lerdo De Tejada,11.0,73,21.24339225,-102.33002388
1706081,Aaris Diseño Y Publicidad,,323119,0 a 5 personas,3310144233.0,aarispublicidad@hotmail.com,,Del Vigia,421.0,120,20.73240652,-103.39322951
1871451,Ab Impresos,,323119,0 a 5 personas,3336145297.0,solsan_impresora@hotmail.com,www.solsandigital.wix.com/facturas-digitales,Jose Guadalupe Montenegro,1106.0,39,20.6681484,-103.35171157
8401347,Abai Graficos,,323119,0 a 5 personas,3310499939.0,abaigraficos@hotmail.com,,Colon,558.0,39,20.66818861,-103.35029529
1871918,Abastecedora De Empaques De Ocidente,Abastecedora De Empaques De Occidente Sa De Cv,322210,0 a 5 personas,,adeocsa_gdl@hotmail.com,,Calzada Del Campesino,1167.0,39,20.66127292,-103.35430669
7460983,Abastos.Jis,,321920,0 a 5 personas,,,,Pipila,13.0,123,20.39183469,-102.92554766
1852475,Abi Print,,323119,0 a 5 personas,3336132019.0,abyprint@hotmail.com,,Galeana,356.0,39,20.67096713,-103.34861964
9013941,Abrianpack,,322210,0 a 5 personas,4442248567.0,,,Rio Nilo,122.0,120,20.79344113,-103.49087139
6990830,Acabados En Marmol Y Granito,,327991,6 a 10 personas,,,,18 De Marzo,740.0,93,20.80475271,-102.74706057
6264207,Acabados Y Servicios Llenamex,Acabados Y Servicios Llenamex Sa De Cv,326192,251 y más personas,,anabel.chavez@llenamex.com.mx,www.llenamex.com,Donato Tovar,30.0,51,20.50382889,-103.16961898
6811529,Accesos Termicos,Accesos Termicos Sa De Cv,326198,6 a 10 personas,3310285800.0,admon@accesosisotemicos.com.mx,www.accesosisotermicos.com.mx,Puerto Topolobampo,3861.0,120,20.64520194,-103.45602655
6206355,Acojinados Y Hules,Acojinados Y Hules Sa De Cv,326290,31 a 50 personas,,,,Antigua Carretera A Chapala,2750.0,39,20.634486,-103.33317858
1872133,Acrideas,,323119,0 a 5 personas,3335805269.0,,,Fermin Riestra,1536.0,39,20.66555475,-103.36018438
1856784,Acrilic Products,,326199,11 a 30 personas,3333454015.0,ventas@acrilicproducts.com,www.acrilicproducts.com,Analco,482.0,39,20.66654302,-103.34111003
7485222,Acrilicos Adrian,,326199,0 a 5 personas,,,www.acrilicosadrian.com,Tizapan,88.0,101,20.69302741,-103.26221885
1845840,Acrilicos Jessi,Creatividad En Diseños De Acrilico Sa De Cv,326199,11 a 30 personas,3336171292.0,contacto@acrilicosjessi.com,acrilicosjessi.com,Jarauta,257.0,39,20.67502773,-103.33081509
1684172,Acrilicos Olugna,,326198,0 a 5 personas,3331201773.0,,,Ejido,595.0,39,20.65392577,-103.30696251
1955774,Acrilicos Sin Nombre,,326199,0 a 5 personas,3336445020.0,,,Hacienda De Tala,2230.0,39,20.69273551,-103.29772066
8384273,Acrilic-Product Venta De Articulos Para Exhibir Mercancia,,326199,0 a 5 personas,,,,Gomez Farias,173.0,39,20.67232166,-103.33971901
8982282,Acripublicidad,,326199,6 a 10 personas,,,www.acripublicidad.com,Tecolote,840.0,39,20.64475295,-103.35487909
1843622,Acry Maquetas,Acrymaquetas Sa De Cv,326199,11 a 30 personas,3338250585.0,acrymaquetas@acrymaquetas.com,www.acrymaquetas.comno,Juan Manuel,1401.0,39,20.67860384,-103.3655377
1698773,Acualaser De Mexico,Acualaser De Mexico Sa De Cv,327991,11 a 30 personas,3336732254.0,jorajay@yahoo.mx,,Paseo De Las Lomas,43.0,120,20.66268986,-103.45268042
1898922,Adherenza Industrial Pegazzo,,327999,0 a 5 personas,3336734717.0,adherenzas@hotmaqil.com,,Unicornio,100.0,39,20.62627338,-103.34954057
1764213,Adhesivos Nueva Era,,327999,0 a 5 personas,,mllamasc@yahoo.com.mx,,Quintana Roo,5.0,121,19.62272213,-103.42033044
6263502,Adhesivos Perdura,Adhesivos Perdura Sa De Cv,327999,51 a 100 personas,,angelica.orozco@perdura.com.mx,www.perdura.com,Anillo Periférico Sur,5869.0,98,20.57613013,-103.3471184
6743456,Adiplast,Aditivos Plasticos Sa De Cv,324191,0 a 5 personas,3331463438.0,,,General Eulogio Parra,1478.0,39,20.68687882,-103.36381648
6759780,Aerosoles Francomexicanos,Aerosoles Francomexicanos Sa De Cv,324191,51 a 100 personas,,rocioiglesias@gruporoux.com.mx,www.gruporoux.com,Lázaro Cárdenas,1450.0,98,20.6239927,-103.3261931
